,City Name,Cloudiness (%),Country,Humidity,Lat,Lon,Tempature (F),Wind (mph)
39,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
40,Kholodnyy,20,RU,0,62.72,147.95,-47.343999999999994,1.15
41,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
42,Kulhudhuffushi,12,MV,100,6.62,73.07,82.03999999999999,4.05
43,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
44,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
45,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
46,Betul,44,IN,42,21.92,77.9,79.52,1.85
47,Jamestown,12,AU,17,-33.21,138.6,89.33000000000001,3.75
48,Guaiba,20,BR,88,-30.11,-51.33,71.582,3.82
49,Castro,12,CL,98,-42.48,-73.76,36.536,1.25
50,Charters Towers,44,AU,59,-20.07,146.27,78.71000000000001,2.95
51,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
52,Albany,90,US,86,42.65,-73.75,29.372,1.5
53,Bereslavka,80,UA,90,47.89,32.29,32.63,2.47
54,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
55,Okhotsk,0,RU,100,59.36,143.24,-26.644,3.2
56,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
57,Albany,90,US,86,42.65,-73.75,29.372,1.5
58,Svetlaya,0,RU,100,46.54,138.33,21.416,1.17
59,Thompson,40,CA,68,55.74,-97.86,-20.200000000000003,2.6
60,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
61,Churapcha,68,RU,0,62.0,132.43,-46.587999999999994,1.45
62,Tura,24,IN,70,25.52,90.21,72.77,1.82
63,Castro,12,CL,98,-42.48,-73.76,36.536,1.25
64,Sarahan,36,IN,83,31.51,77.79,12.506,0.32
65,Butaritari,80,KI,100,3.07,172.79,82.22,7.52
66,Ostrovnoy,8,RU,82,68.05,39.51,17.006,5.35
67,Aklavik,5,CA,85,68.22,-135.01,14.0,3.6
68,Makrana,0,IN,25,27.04,74.73,78.25999999999999,2.35
69,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
70,Emba,75,CY,77,34.81,32.42,66.866,5.1
71,Albany,90,US,86,42.65,-73.75,29.372,1.5
72,Atuona,0,PF,100,-9.8,-139.03,79.73599999999999,4.37
73,Chuy,48,UY,100,-33.69,-53.46,68.21600000000001,3.55
74,Cape Town,20,ZA,46,-33.93,18.42,71.6,5.1
75,Bredasdorp,0,ZA,81,-34.53,20.04,69.206,9.6
76,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
77,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
78,Mahebourg,75,MU,62,-20.41,57.7,86.0,5.1
79,Torbay,75,CA,85,47.66,-52.73,23.936,7.2
80,Konskie,92,PL,100,51.19,20.41,34.43,5.55
81,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
82,Jarwal,0,IN,75,27.12,81.54,69.206,3.3
83,Chokurdakh,64,RU,66,70.62,147.9,-4.198,4.77
84,Bredasdorp,0,ZA,81,-34.53,20.04,69.206,9.6
85,Sabha,0,LY,66,27.03,14.43,46.94,4.3
86,Chuy,48,UY,100,-33.69,-53.46,68.21600000000001,3.55
87,Ponta do Sol,64,BR,99,-20.63,-46.0,61.97,1.85
88,Nikolskoye,90,RU,80,59.7,30.79,30.2,6.0
89,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
90,Lodeynoye Pole,80,RU,95,60.73,33.55,28.436,2.95
91,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
92,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
93,Bunia,0,CD,73,1.56,30.25,80.87,2.12
94,Albany,90,US,86,42.65,-73.75,29.372,1.5
95,Tuktoyaktuk,56,CA,92,69.44,-133.03,12.2,4.6
96,Kawalu,48,ID,86,-7.38,108.21,73.49000000000001,0.9
97,Lebu,0,ET,38,8.96,38.73,62.635999999999996,1.85
98,Lavrentiya,92,RU,85,65.58,-170.99,34.106,15.55
99,Sambava,0,MG,100,-14.27,50.17,81.80600000000001,3.42
100,Ventspils,90,LV,93,57.39,21.56,37.4,3.6
101,Port Lincoln,88,AU,72,-34.72,135.86,71.33000000000001,8.3
102,Victoria,75,BN,94,5.28,115.24,77.0,1.5
103,Khatanga,12,RU,0,71.98,102.47,-32.494,1.75
104,Sinnamary,76,GF,100,5.38,-52.96,74.93,3.77
105,Kodiak,1,US,92,39.95,-94.76,21.2,4.1
106,Shelburne,90,CA,100,44.08,-80.2,22.514000000000003,1.5
107,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
108,Ternate,75,PH,79,14.29,120.72,84.2,3.1
109,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
110,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
111,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
112,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
113,San Quintin,20,PH,49,17.54,120.52,89.6,4.1
114,Acajutla,20,SV,81,13.59,-89.83,71.33000000000001,1.07
115,Yamaranguila,64,HN,93,14.28,-88.24,58.55,0.9
116,Gidole,0,ET,21,5.65,37.37,83.03,1.45
117,Atuona,0,PF,100,-9.8,-139.03,79.73599999999999,4.37
118,Altamira,80,BR,99,-3.2,-52.21,71.816,1.5
119,Geraldton,90,CA,78,49.72,-86.95,8.599999999999998,4.1
120,Boksitogorsk,80,RU,89,59.47,33.85,27.356,2.15
121,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
122,Faanui,92,PF,100,-16.48,-151.75,83.156,5.8
123,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
124,Nanortalik,68,GL,95,60.14,-45.24,30.506,5.97
125,Geraldton,90,CA,78,49.72,-86.95,8.599999999999998,4.1
126,Ulstrup,80,DE,100,54.81,9.55,46.4,6.7
127,Chokurdakh,64,RU,66,70.62,147.9,-4.198,4.77
128,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
129,Bethel,20,US,64,60.79,-161.76,39.2,9.8
130,Ribeira Grande,20,PT,82,38.52,-28.7,62.6,3.6
131,Chokurdakh,64,RU,66,70.62,147.9,-4.198,4.77
132,Kodiak,1,US,92,39.95,-94.76,21.2,4.1
133,Pangani,0,KE,79,-2.37,40.57,85.136,6.07
134,Marystown,20,CA,100,47.17,-55.16,25.412,5.45
135,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
136,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
137,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
138,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
139,Castro,12,CL,98,-42.48,-73.76,36.536,1.25
140,Achi,0,NG,78,5.65,7.65,84.416,2.5
141,Freeport,0,BS,100,26.54,-78.7,73.13,5.1
142,Mecca,0,SA,54,21.43,39.83,84.2,1.67
143,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
144,Provideniya,92,RU,90,64.42,-173.23,34.34,12.35
145,Phibun Mangsahan,0,TH,43,15.24,105.23,89.6,1.5
146,Ponta do Sol,64,BR,99,-20.63,-46.0,61.97,1.85
147,Chuy,48,UY,100,-33.69,-53.46,68.21600000000001,3.55
148,Kahului,40,US,68,20.89,-156.47,67.586,8.7
149,Lasa,75,CY,77,34.92,32.53,66.884,5.1
150,Misratah,0,LY,100,32.38,15.09,59.540000000000006,5.35
151,Muisne,68,EC,97,0.61,-80.02,70.106,1.9
152,Iqaluit,5,CA,75,63.75,-68.52,-18.4,1.5
153,Georgetown,40,GY,100,6.8,-58.16,71.6,1.0
154,Conde,100,BR,90,-11.81,-37.61,77.27,3.77
155,Leh,56,IN,67,34.16,77.58,-8.338000000000001,0.72
156,Darovskoy,68,RU,89,58.77,47.96,15.386,2.65
157,Linjiang,0,CN,88,41.81,126.91,17.906,2.35
158,Plettenberg Bay,12,ZA,94,-34.05,23.37,65.516,5.3
159,Solhan,75,TR,93,38.97,41.05,42.8,3.1
160,Faya,0,SA,7,18.39,42.45,68.0,2.6
161,Saskylakh,48,RU,78,71.97,114.09,-17.644,2.72
162,Beloha,80,MG,46,-25.17,45.06,90.716,2.95
163,Grindavik,75,IS,86,63.84,-22.43,37.4,9.3
164,Hasaki,0,JP,100,35.73,140.83,43.646,1.5
165,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
166,East London,20,ZA,73,-33.02,27.91,75.2,6.2
167,Pangkalanbuun,24,ID,71,-2.68,111.62,86.18,4.05
168,Hithadhoo,92,MV,100,-0.6,73.08,82.22,2.95
169,Ust-Nera,44,RU,0,64.57,143.24,-51.214,0.95
170,Thompson,40,CA,68,55.74,-97.86,-20.200000000000003,2.6
171,Hovd,75,NO,75,63.83,10.7,40.064,16.5
172,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
173,Vaini,20,IN,34,15.34,74.49,86.18,2.95
174,Narsaq,20,GL,27,60.91,-46.05,37.4,9.3
175,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
176,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
177,Tabuk,80,PH,90,17.41,121.44,70.43,0.85
178,Saldanha,0,PT,85,41.42,-6.55,25.862,1.6
179,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
180,Lavrentiya,92,RU,85,65.58,-170.99,34.106,15.55
181,Kaitangata,76,NZ,98,-46.28,169.85,57.650000000000006,2.37
182,Deputatskiy,56,RU,40,69.3,139.9,-27.058000000000007,1.82
183,Teya,20,MX,88,21.05,-89.07,69.80000000000001,4.1
184,Honiara,40,SB,70,-9.43,159.96,84.2,1.0
185,Gornopravdinsk,80,RU,82,60.06,69.92,21.722,2.62
186,Cape Town,20,ZA,46,-33.93,18.42,71.6,5.1
187,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
188,Amapa,36,HN,98,15.09,-87.97,66.05600000000001,0.4
189,Hithadhoo,92,MV,100,-0.6,73.08,82.22,2.95
190,Alofi,88,NU,94,-19.06,-169.92,73.4,1.0
191,Longyearbyen,40,NO,86,78.22,15.63,28.4,5.1
192,Carnarvon,0,ZA,27,-30.97,22.13,79.286,2.02
193,Presidencia Roque Saenz Pena,24,AR,90,-26.79,-60.44,77.0,3.25
194,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
195,Saint George,20,GR,64,39.45,22.34,39.2,4.6
196,Raduzhnyy,92,RU,86,62.1,77.47,18.212,3.55
197,Alofi,88,NU,94,-19.06,-169.92,73.4,1.0
198,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
199,Hasaki,0,JP,100,35.73,140.83,43.646,1.5
200,Saint-Joseph,0,FR,61,43.56,6.97,40.802,1.5
201,Victoria,75,BN,94,5.28,115.24,77.0,1.5
202,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
203,Vaini,20,IN,34,15.34,74.49,86.18,2.95
204,Amazar,36,RU,66,53.86,120.88,-10.497999999999998,1.07
205,Tuktoyaktuk,56,CA,92,69.44,-133.03,12.2,4.6
206,Keizer,90,US,86,45.0,-123.02,39.92,5.1
207,Iqaluit,5,CA,75,63.75,-68.52,-18.4,1.5
208,Lorengau,76,PG,95,-2.02,147.27,84.28999999999999,3.4
209,Roebourne,0,AU,22,-20.77,117.15,100.03999999999999,6.47
210,Cururupu,48,BR,82,-1.82,-44.87,79.61,3.52
211,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
212,Aragarcas,88,BR,95,-15.9,-52.25,69.08000000000001,1.27
213,Cape Town,20,ZA,46,-33.93,18.42,71.6,5.1
214,Georgetown,40,GY,100,6.8,-58.16,71.6,1.0
215,Marienburg,75,DE,93,52.12,9.98,45.32,6.7
216,Tayu,75,JP,58,35.06,136.67,53.6,6.7
217,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
218,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
219,Castro,12,CL,98,-42.48,-73.76,36.536,1.25
220,Nemuro,75,JP,74,43.32,145.57,33.8,0.5
221,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
222,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
223,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
224,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
225,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
226,Hermanus,0,ZA,49,-34.42,19.24,72.59,2.37
227,Atuona,0,PF,100,-9.8,-139.03,79.73599999999999,4.37
228,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
229,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
230,Esperance,20,TT,83,10.24,-61.45,75.2,2.7
231,Sechura,8,PE,89,-5.56,-80.82,67.586,4.0
232,Nikolskoye,90,RU,80,59.7,30.79,30.2,6.0
233,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
234,Vaini,20,IN,34,15.34,74.49,86.18,2.95
235,Lompoc,1,US,69,34.64,-120.46,37.418,2.1
236,Creel,32,MX,77,27.75,-107.63,29.822,1.02
237,Tual,68,ID,100,-5.67,132.75,82.886,2.5
238,Bethel,20,US,64,60.79,-161.76,39.2,9.8
239,Agde,0,FR,87,43.31,3.47,44.456,4.1
240,Nanortalik,68,GL,95,60.14,-45.24,30.506,5.97
241,New Norfolk,75,AU,49,-42.78,147.06,68.0,5.1
242,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
243,Wladyslawowo,75,PL,100,54.79,18.4,37.4,6.7
244,Berlevag,8,NO,100,70.86,29.09,26.456,4.67
245,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
246,Mbini,40,GQ,94,1.58,9.62,78.80000000000001,3.4
247,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
248,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
249,Bilma,0,NE,69,18.69,12.92,59.756,7.55
250,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
251,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
252,Port Elizabeth,90,US,100,39.31,-74.98,46.094,1.57
253,Albany,90,US,86,42.65,-73.75,29.372,1.5
254,Rio Claro,75,BR,100,-22.41,-47.56,66.2,1.5
255,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
256,Katsuura,0,JP,66,33.93,134.5,48.2,1.5
257,Cabo San Lucas,20,MX,63,22.89,-109.91,60.8,7.7
258,Kavaratti,0,IN,100,10.57,72.64,81.41,0.57
259,Ghimes-Faget,75,RO,64,46.58,26.07,39.2,6.2
260,Lac du Bonnet,24,CA,64,50.25,-96.06,-0.3640000000000043,2.85
261,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
262,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
263,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
264,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
265,Maunabo,75,PR,94,18.01,-65.9,75.2,2.6
266,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
267,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
268,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
269,Mar del Plata,0,AR,69,-46.43,-67.52,45.32,6.35
270,East London,20,ZA,73,-33.02,27.91,75.2,6.2
271,Saint George,20,GR,64,39.45,22.34,39.2,4.6
272,Sudzha,88,RU,96,51.19,35.27,27.806,2.62
273,Mizdah,92,LY,97,31.45,12.98,46.166,5.57
274,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
275,Hermanus,0,ZA,49,-34.42,19.24,72.59,2.37
276,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
277,Hermanus,0,ZA,49,-34.42,19.24,72.59,2.37
278,Makakilo City,1,US,68,21.35,-158.09,68.48599999999999,3.6
279,Hlukhiv,88,UA,94,51.68,33.91,28.382,2.95
280,Haines Junction,0,CA,32,60.75,-137.51,-23.818000000000005,0.9
281,Kasongo-Lunda,80,CD,92,-6.48,16.82,73.94,1.37
282,Grand Gaube,75,MU,62,-20.01,57.66,86.0,5.1
283,Upernavik,64,GL,100,72.79,-56.15,11.911999999999999,2.75
284,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
285,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
286,Hilo,75,US,64,19.71,-155.08,58.424,6.7
287,Salvador,40,BR,78,-12.98,-38.48,78.80000000000001,5.1
288,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
289,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
290,Butaritari,80,KI,100,3.07,172.79,82.22,7.52
291,Najran,0,SA,27,17.54,44.22,64.4,2.1
292,Cape Town,20,ZA,46,-33.93,18.42,71.6,5.1
293,Lagoa,0,PT,87,37.14,-8.45,50.0,3.1
294,Nara,75,JP,57,34.68,135.8,49.55,2.1
295,Souillac,90,FR,93,45.6,-0.6,46.4,1.22
296,Belle Fourche,1,US,84,44.67,-103.85,7.8260000000000005,1.75
297,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
298,Kieta,80,PG,100,-6.22,155.63,76.856,1.37
299,Te Anau,64,NZ,54,-45.41,167.72,58.730000000000004,1.92
300,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
301,Beringovskiy,88,RU,100,63.05,179.32,1.8319999999999972,8.3
302,Taoudenni,0,ML,46,22.68,-3.98,48.56,7.52
303,Jadu,92,LY,100,31.95,12.03,45.32,5.17
304,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
305,Bandarbeyla,0,SO,97,9.49,50.81,77.936,12.7
306,Necochea,8,AR,72,-38.55,-58.74,55.58,3.7
307,Shingu,75,JP,61,33.72,135.99,50.0,5.7
308,Vaini,20,IN,34,15.34,74.49,86.18,2.95
309,Tabuk,80,PH,90,17.41,121.44,70.43,0.85
310,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
311,Cape Town,20,ZA,46,-33.93,18.42,71.6,5.1
312,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
313,Provideniya,92,RU,90,64.42,-173.23,34.34,12.35
314,Itarema,76,BR,83,-2.92,-39.92,79.07,4.45
315,Lasa,75,CY,77,34.92,32.53,66.884,5.1
316,Derzhavinsk,56,KZ,87,51.1,66.31,16.106,4.77
317,Maragogi,92,BR,84,-9.01,-35.22,78.17,4.3
318,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
319,Hermanus,0,ZA,49,-34.42,19.24,72.59,2.37
320,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
321,Arraial do Cabo,0,BR,88,-22.97,-42.02,74.282,7.7
322,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
323,Port Elizabeth,90,US,100,39.31,-74.98,46.094,1.57
324,Jacareacanga,68,BR,91,-6.22,-57.76,74.93,0.95
325,Lata,0,IN,62,30.78,78.62,52.879999999999995,0.67
326,Medea,75,DZ,93,36.27,2.77,51.8,1.5
327,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
328,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
329,Upernavik,64,GL,100,72.79,-56.15,11.911999999999999,2.75
330,Nan,0,TH,27,18.78,100.78,86.0,1.0
331,Broome,75,GB,93,52.47,1.45,48.2,6.2
332,Kahului,40,US,68,20.89,-156.47,67.586,8.7
333,Tabou,24,CI,100,4.42,-7.36,77.18,4.27
334,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
335,Palmer,0,AU,25,-34.85,139.16,86.0,7.2
336,Bredasdorp,0,ZA,81,-34.53,20.04,69.206,9.6
337,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
338,Vaini,20,IN,34,15.34,74.49,86.18,2.95
339,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
340,Ola,0,RU,73,59.58,151.3,-36.400000000000006,3.92
341,Hovd,75,NO,75,63.83,10.7,40.064,16.5
342,Lagoa,0,PT,87,37.14,-8.45,50.0,3.1
343,Kieta,80,PG,100,-6.22,155.63,76.856,1.37
344,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
345,Nikolskoye,90,RU,80,59.7,30.79,30.2,6.0
346,Calatayud,20,ES,81,41.35,-1.64,44.366,4.6
347,Dourados,88,BR,96,-22.22,-54.81,70.78999999999999,3.7
348,Paracuru,75,BR,83,-3.41,-39.03,78.80000000000001,5.1
349,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
350,Pak Phanang,40,TH,78,8.35,100.2,82.4,4.6
351,Cherskiy,76,RU,48,68.75,161.3,-29.668,1.0
352,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
353,Jamestown,12,AU,17,-33.21,138.6,89.33000000000001,3.75
354,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
355,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
356,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
357,Ponta do Sol,64,BR,99,-20.63,-46.0,61.97,1.85
358,Tsiroanomandidy,68,MG,99,-18.77,46.05,74.03,2.97
359,Tuktoyaktuk,56,CA,92,69.44,-133.03,12.2,4.6
360,Garowe,0,SO,25,8.41,48.48,85.46000000000001,7.87
361,Bredasdorp,0,ZA,81,-34.53,20.04,69.206,9.6
362,Marzuq,0,YE,30,14.4,46.47,67.1,2.27
363,Inuvik,5,CA,85,68.36,-133.71,12.974,3.6
364,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
365,Alice Springs,0,AU,7,-23.7,133.88,104.0,4.1
366,Avera,75,US,93,33.19,-82.53,51.422,2.6
367,Vestmannaeyjar,92,IS,89,63.44,-20.27,39.74,9.45
368,Carnarvon,0,ZA,27,-30.97,22.13,79.286,2.02
369,Wairoa,80,NZ,95,-39.04,177.43,60.08,3.4
370,Vaini,20,IN,34,15.34,74.49,86.18,2.95
371,Atuona,0,PF,100,-9.8,-139.03,79.73599999999999,4.37
372,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
373,Lerwick,92,GB,93,60.15,-1.15,50.0,13.4
374,Butaritari,80,KI,100,3.07,172.79,82.22,7.52
375,Sorong,36,ID,100,-0.86,131.25,84.506,4.0
376,Syracuse,90,US,100,43.05,-76.15,30.2,2.6
377,Chokurdakh,64,RU,66,70.62,147.9,-4.198,4.77
378,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
379,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
380,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
381,Plettenberg Bay,12,ZA,94,-34.05,23.37,65.516,5.3
382,Albany,90,US,86,42.65,-73.75,29.372,1.5
383,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
384,Padilla,40,CO,88,3.23,-76.31,71.6,2.6
385,Albany,90,US,86,42.65,-73.75,29.372,1.5
386,Gasa,0,BT,39,27.91,89.73,28.436,1.67
387,Tuktoyaktuk,56,CA,92,69.44,-133.03,12.2,4.6
388,Guerrero Negro,0,MX,100,27.97,-114.04,40.856,2.7
389,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
390,Hilo,75,US,64,19.71,-155.08,58.424,6.7
391,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
392,San Patricio,92,PY,93,-26.98,-56.83,74.156,2.85
393,Acapulco,40,MX,94,16.86,-99.88,75.2,1.52
394,East London,20,ZA,73,-33.02,27.91,75.2,6.2
395,Bethel,20,US,64,60.79,-161.76,39.2,9.8
396,Norman Wells,20,CA,84,65.28,-126.83,6.800000000000001,1.17
397,Gat,88,SN,37,14.69,-16.54,65.75,7.8
398,Charters Towers,44,AU,59,-20.07,146.27,78.71000000000001,2.95
399,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
400,Mount Gambier,64,AU,53,-37.83,140.78,70.07,3.75
401,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
402,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
403,Butaritari,80,KI,100,3.07,172.79,82.22,7.52
404,Bandarbeyla,0,SO,97,9.49,50.81,77.936,12.7
405,Marawi,44,PH,95,8.0,124.29,74.156,1.07
406,Hagenow,75,DE,100,53.43,11.19,46.4,7.7
407,Provideniya,92,RU,90,64.42,-173.23,34.34,12.35
408,Castro,12,CL,98,-42.48,-73.76,36.536,1.25
409,Mount Gambier,64,AU,53,-37.83,140.78,70.07,3.75
410,Hatillo,5,PR,88,18.49,-66.83,69.80000000000001,2.6
411,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
412,Vila Velha,75,BR,83,-3.71,-38.6,78.80000000000001,5.1
413,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
414,Arraial do Cabo,0,BR,88,-22.97,-42.02,74.282,7.7
415,Albany,90,US,86,42.65,-73.75,29.372,1.5
416,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
417,Rocha,64,UY,87,-34.48,-54.34,69.386,3.2
418,Khatanga,12,RU,0,71.98,102.47,-32.494,1.75
419,Jamestown,12,AU,17,-33.21,138.6,89.33000000000001,3.75
420,Port Elizabeth,90,US,100,39.31,-74.98,46.094,1.57
